Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
118,Juan Cruz Armada\Juan-Cruz-Armada,es ESP,DF,Osasuna,28-295,1992,21.8,18,0.83,16,2,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
119,Sergio Cubero Ezcurra\Sergio-Cubero-Ezcurra,es ESP,MF,Eibar,21-256,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
120,Cucho\Cucho,co COL,FWMF,Getafe,22-029,1999,16.0,33,2.06,27,0,2,1,3,0,5,0.31,5,0,0,0,0,0,Matches
121,Marc Cucurella\Marc-Cucurella,es ESP,MF,Getafe,22-301,1998,35.1,80,2.28,63,4,2,0,9,2,5,0.14,3,0,1,0,0,1,Matches
122,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Valencia,23-136,1998,1.2,2,1.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
123,Moussa Dembélé\Moussa-Dembele,fr FRA,FWMF,Atlético Madrid,24-311,1996,1.1,2,1.80,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
124,Ousmane Dembélé\Ousmane-Dembele,fr FRA,FWDF,Barcelona,24-004,1997,18.7,81,4.33,55,9,9,6,2,0,9,0.48,6,0,1,2,0,0,Matches
125,Sergiño Dest\Sergino-Dest,us USA,DF,Barcelona,20-197,2000,20.0,38,1.90,34,1,2,1,0,0,1,0.05,1,0,0,0,0,0,Matches
126,Deyverson\Deyverson,br BRA,FW,Alavés,30-011,1991,9.7,17,1.75,13,0,0,1,3,0,4,0.41,2,0,0,1,1,0,Matches
127,Abdoulay Diaby\Abdoulay-Diaby,ml MLI,MF,Getafe,29-363,1991,0.2,2,10.00,1,0,0,1,0,0,1,5.00,0,0,0,1,0,0,Matches
128,Mouctar Diakhaby\Mouctar-Diakhaby,fr FRA,DF,Valencia,24-151,1996,22.1,4,0.18,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
129,Víctor Díaz\Victor-Diaz,es ESP,DF,Granada,32-341,1988,8.7,11,1.26,7,3,0,1,0,0,3,0.34,2,0,0,1,0,0,Matches
