Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
136,Cheick Doukouré\Cheick-Doukoure,ci CIV,MF,Levante,28-250,1992,1.1,1,0,0,7,3,1,0,2,4,0,0,0,10,1,1,50.0,Matches
137,Idrissa Doumbia\Idrissa-Doumbia,ci CIV,MF,Huesca,23-035,1998,8.4,4,0,0,12,5,0,0,9,9,0,0,0,77,2,5,28.6,Matches
138,Domingos Duarte\Domingos-Duarte,pt POR,DF,Granada,26-070,1995,26.3,5,1,0,22,20,0,2,31,19,0,1,0,264,55,34,61.8,Matches
139,Óscar Duarte\Oscar-Duarte,cr CRC,DF,Levante,31-350,1989,21.9,2,0,0,33,6,2,2,25,14,0,1,0,181,81,48,62.8,Matches
140,Rubén Duarte\Ruben-Duarte,es ESP,DF,Alavés,25-213,1995,27.3,5,1,1,42,38,0,54,39,32,0,1,0,249,58,28,67.4,Matches
141,Unai Dufur\Unai-Dufur,es ESP,DF,Eibar,22-138,1999,0.7,0,0,0,1,0,0,0,0,2,0,0,0,6,1,1,50.0,Matches
142,Hugo Duro\Hugo-Duro,es ESP,FW,Real Madrid,21-190,1999,0.6,0,0,0,1,1,0,1,0,0,0,0,0,1,1,5,16.7,Matches
143,Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,27-052,1994,19.9,5,0,0,22,24,1,7,7,17,0,1,1,202,56,38,59.6,Matches
144,Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,27-197,1993,5.2,1,0,0,8,2,0,0,2,3,0,0,0,50,16,2,88.9,Matches
145,Emerson\Emerson,br BRA,DF,Betis,22-125,1999,32.2,9,1,0,54,68,3,72,67,57,0,1,1,247,56,37,60.2,Matches
146,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Sevilla,23-352,1997,24.7,2,0,0,27,35,25,17,8,16,1,0,0,96,98,78,55.7,Matches
147,Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,31-082,1990,14.8,1,0,0,30,18,8,7,10,13,1,0,0,83,88,98,47.3,Matches
148,Aarón Escandell\Aaron-Escandell,es ESP,GK,Granada,25-234,1995,4.0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,,Matches
149,Dani Escriche\Dani-Escriche,es ESP,FWMF,Huesca,23-056,1998,9.5,5,1,0,20,16,6,4,8,13,1,0,0,62,17,33,34.0,Matches
150,Sergio Escudero\Sergio-Escudero,es ESP,DF,Sevilla,31-259,1989,5.5,3,0,0,8,7,0,12,5,8,0,0,0,38,9,5,64.3,Matches
151,Alfonso Espino\Alfonso-Espino,uy URU,DF,Cádiz,29-134,1992,28.9,6,0,0,32,21,3,61,46,58,0,0,0,249,38,43,46.9,Matches
152,Vicente Esquerdo\Vicente-Esquerdo,es ESP,MF,Valencia,22-137,1999,2.6,1,0,0,3,0,0,2,5,6,0,0,0,18,2,3,40.0,Matches
153,Pervis Estupiñán\Pervis-Estupinan,ec ECU,DF,Villarreal,23-118,1998,13.0,1,0,0,24,20,6,61,29,24,1,1,0,132,11,15,42.3,Matches
154,Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Getafe,33-200,1987,9.8,3,0,0,14,2,0,0,10,6,0,0,1,112,18,24,42.9,Matches
155,Edu Expósito\Edu-Exposito,es ESP,MF,Eibar,24-291,1996,27.3,4,0,0,29,28,0,36,32,27,0,0,0,333,36,42,46.2,Matches
156,Fali\Fali,es ESP,DFMF,Cádiz,27-280,1993,28.3,11,0,0,20,25,0,13,24,21,0,1,0,175,44,32,57.9,Matches
157,Ansu Fati\Ansu-Fati,es ESP,FW,Barcelona,18-200,2002,4.8,1,0,0,6,11,2,5,1,3,2,0,0,20,2,4,33.3,Matches
158,Nabil Fekir\Nabil-Fekir,fr FRA,MFFW,Betis,27-305,1993,28.1,5,1,0,78,90,13,53,11,35,3,0,0,151,17,73,18.9,Matches
159,Felipe\Felipe,br BRA,DF,Atlético Madrid,32-003,1989,21.9,7,0,0,29,13,0,2,41,21,0,0,1,209,85,19,81.7,Matches
